Host Team,Away Team,Winner,Margin,Ground,Match Date
India,Australia,drawn,,Mumbai (BS),"Jan 1-6, 1960"
West Indies,England,drawn,,Bridgetown,"Jan 6-12, 1960"
India,Australia,Australia,inns & 55 runs,Chennai,"Jan 13-17, 1960"
India,Australia,drawn,,Kolkata,"Jan 23-28, 1960"
West Indies,England,England,256 runs,Port of Spain,"Jan 28-Feb 3, 1960"
West Indies,England,drawn,,Kingston,"Feb 17-23, 1960"
West Indies,England,drawn,,Georgetown,"Mar 9-15, 1960"
West Indies,England,drawn,,Port of Spain,"Mar 25-31, 1960"
England,South Africa,England,100 runs,Birmingham,"Jun 9-14, 1960"
England,South Africa,England,inns & 73 runs,Lord's,"Jun 23-27, 1960"
England,South Africa,England,8 wickets,Nottingham,"Jul 7-11, 1960"
England,South Africa,drawn,,Manchester,"Jul 21-26, 1960"
England,South Africa,drawn,,The Oval,"Aug 18-23, 1960"
India,Pakistan,drawn,,Mumbai (BS),"Dec 2-7, 1960"
Australia,West Indies,tied,,Brisbane,"Dec 9-14, 1960"
India,Pakistan,drawn,,Kanpur,"Dec 16-21, 1960"
Australia,West Indies,Australia,7 wickets,Melbourne,"Dec 30, 1960 - Jan 3, 1961"
India,Pakistan,drawn,,Kolkata,"Dec 30, 1960 - Jan 4, 1961"
