Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,New Zealand,Australia,inns & 25 runs,Melbourne,"Dec 29, 1973 - Jan 2, 1974"
Australia,New Zealand,drawn,,Sydney,"Jan 5-10, 1974"
Australia,New Zealand,Australia,inns & 57 runs,Adelaide,"Jan 26-31, 1974"
West Indies,England,West Indies,7 wickets,Port of Spain,"Feb 2-7, 1974"
West Indies,England,drawn,,Kingston,"Feb 16-21, 1974"
New Zealand,Australia,drawn,,Wellington,"Mar 1-6, 1974"
West Indies,England,drawn,,Bridgetown,"Mar 6-11, 1974"
New Zealand,Australia,New Zealand,5 wickets,Christchurch,"Mar 8-13, 1974"
New Zealand,Australia,Australia,297 runs,Auckland,"Mar 22-24, 1974"
West Indies,England,drawn,,Georgetown,"Mar 22-27, 1974"
West Indies,England,England,26 runs,Port of Spain,"Mar 30-Apr 5, 1974"
England,India,England,113 runs,Manchester,"Jun 6-11, 1974"
England,India,England,inns & 285 runs,Lord's,"Jun 20-24, 1974"
England,India,England,inns & 78 runs,Birmingham,"Jul 4-8, 1974"
England,Pakistan,drawn,,Leeds,"Jul 25-30, 1974"
England,Pakistan,drawn,,Lord's,"Aug 8-13, 1974"
England,Pakistan,drawn,,The Oval,"Aug 22-27, 1974"
India,West Indies,West Indies,267 runs,Bengaluru,"Nov 22-27, 1974"
Australia,England,Australia,166 runs,Brisbane,"Nov 29-Dec 4, 1974"
India,West Indies,West Indies,inns & 17 runs,Delhi,"Dec 11-15, 1974"
Australia,England,Australia,9 wickets,Perth,"Dec 13-17, 1974"
Australia,England,drawn,,Melbourne,"Dec 26-31, 1974"
India,West Indies,India,85 runs,Kolkata,"Dec 27, 1974 - Jan 1, 1975"
