Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,England,299 runs,Sydney,"Jan 9-14, 1971"
Australia,England,drawn,,Melbourne,"Jan 21-26, 1971"
Australia,England,drawn,,Adelaide,"Jan 29-Feb 3, 1971"
Australia,England,England,62 runs,Sydney,"Feb 12-17, 1971"
West Indies,India,drawn,,Kingston,"Feb 18-23, 1971"
New Zealand,England,England,8 wickets,Christchurch,"Feb 25-Mar 1, 1971"
New Zealand,England,drawn,,Auckland,"Mar 5-8, 1971"
West Indies,India,India,7 wickets,Port of Spain,"Mar 6-10, 1971"
West Indies,India,drawn,,Georgetown,"Mar 19-24, 1971"
West Indies,India,drawn,,Bridgetown,"Apr 1-6, 1971"
West Indies,India,drawn,,Port of Spain,"Apr 13-19, 1971"
England,Pakistan,drawn,,Birmingham,"Jun 3-8, 1971"
England,Pakistan,drawn,,Lord's,"Jun 17-22, 1971"
England,Pakistan,England,25 runs,Leeds,"Jul 8-13, 1971"
England,India,drawn,,Lord's,"Jul 22-27, 1971"
England,India,drawn,,Manchester,"Aug 5-10, 1971"
England,India,India,4 wickets,The Oval,"Aug 19-24, 1971"
