Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,Australia,inns & 91 runs,Melbourne,"Dec 31, 1920 - Jan 4, 1921"
Australia,England,Australia,119 runs,Adelaide,"Jan 14-20, 1921"
Australia,England,Australia,8 wickets,Melbourne,"Feb 11-16, 1921"
Australia,England,Australia,9 wickets,Sydney,"Feb 25-Mar 1, 1921"
England,Australia,Australia,10 wickets,Nottingham,"May 28-30, 1921"
England,Australia,Australia,8 wickets,Lord's,"Jun 11-14, 1921"
England,Australia,Australia,219 runs,Leeds,"Jul 2-5, 1921"
England,Australia,drawn,,Manchester,"Jul 23-26, 1921"
England,Australia,drawn,,The Oval,"Aug 13-16, 1921"
South Africa,Australia,drawn,,Durban,"Nov 5-9, 1921"
South Africa,Australia,drawn,,Johannesburg,"Nov 12-16, 1921"
South Africa,Australia,Australia,10 wickets,Cape Town,"Nov 26-29, 1921"
